step,name,location,year,race,sex/household,age,value,unit,source
8,Lack access to car,Connecticut,2015,White,All,All,0.0679,percent,2015 Community Wellbeing Survey
8,Lack access to car,Connecticut,2015,Black,All,All,0.2615,percent,2015 Community Wellbeing Survey
8,Lack access to car,Connecticut,2015,Latinx,All,All,0.2475,percent,2015 Community Wellbeing Survey
8,Underemployed,Connecticut,2015,White,All,All,0.1242,percent,2015 Community Wellbeing Survey
8,Underemployed,Connecticut,2015,Black,All,All,0.2574,percent,2015 Community Wellbeing Survey
8,Underemployed,Connecticut,2015,Latinx,All,All,0.2158,percent,2015 Community Wellbeing Survey
8,Transportation burden,Connecticut,2015,White,All,All,0.0901,percent,2015 Community Wellbeing Survey
8,Transportation burden,Connecticut,2015,Black,All,All,0.255,percent,2015 Community Wellbeing Survey
8,Transportation burden,Connecticut,2015,Latinx,All,All,0.2499,percent,2015 Community Wellbeing Survey
8,"Use payday loans, etc",Connecticut,2015,White,All,All,0.09,percent,2015 Community Wellbeing Survey
8,"Use payday loans, etc",Connecticut,2015,Black,All,All,0.2185,percent,2015 Community Wellbeing Survey
8,"Use payday loans, etc",Connecticut,2015,Latinx,All,All,0.1603,percent,2015 Community Wellbeing Survey
9,homeownership by race,Connecticut,2015,White,All,All,0.7681,percent,2015 ACS PUMS
9,homeownership by race,Connecticut,2015,Black,All,All,0.4067,percent,2015 ACS PUMS
9,homeownership by race,Connecticut,2015,Latinx,All,All,0.3435,percent,2015 ACS PUMS
10,homeownership by race & type,Connecticut,2015,White,Female- headed,All,0.6353,percent,2015 ACS PUMS
10,homeownership by race & type,Connecticut,2015,White,Male- headed,All,0.5733,percent,2015 ACS PUMS
10,homeownership by race & type,Connecticut,2015,White,Married couple,All,0.8962,percent,2015 ACS PUMS
10,homeownership by race & type,Connecticut,2015,Black,Female- headed,All,0.2628,percent,2015 ACS PUMS
10,homeownership by race & type,Connecticut,2015,Black,Male- headed,All,0.3072,percent,2015 ACS PUMS
10,homeownership by race & type,Connecticut,2015,Black,Married couple,All,0.7184,percent,2015 ACS PUMS
10,homeownership by race & type,Connecticut,2015,Latinx,Female- headed,All,0.1868,percent,2015 ACS PUMS
10,homeownership by race & type,Connecticut,2015,Latinx,Male- headed,All,0.1879,percent,2015 ACS PUMS
10,homeownership by race & type,Connecticut,2015,Latinx,Married couple,All,0.5605,percent,2015 ACS PUMS
11,homeownership by age,Connecticut,2015,All,All,Under age 45,0.4938,percent,2015 ACS PUMS
11,homeownership by age,Connecticut,2015,All,All,Ages 45-64,0.7541,percent,2015 ACS PUMS
11,homeownership by age,Connecticut,2015,All,All,Ages 65+,0.7612,percent,2015 ACS PUMS
12,homeownership by race & age,Connecticut,2015,White,All,Under age 45,0.6166,percent,2015 ACS PUMS
12,homeownership by race & age,Connecticut,2015,White,All,Ages 45-64,0.8272,percent,2015 ACS PUMS
12,homeownership by race & age,Connecticut,2015,White,All,Ages 65+,0.8021,percent,2015 ACS PUMS
12,homeownership by race & age,Connecticut,2015,Black,All,Under age 45,0.2589,percent,2015 ACS PUMS
12,homeownership by race & age,Connecticut,2015,Black,All,Ages 45-64,0.4823,percent,2015 ACS PUMS
12,homeownership by race & age,Connecticut,2015,Black,All,Ages 65+,0.5251,percent,2015 ACS PUMS
12,homeownership by race & age,Connecticut,2015,Latinx,All,Under age 45,0.2675,percent,2015 ACS PUMS
12,homeownership by race & age,Connecticut,2015,Latinx,All,Ages 45-64,0.439,percent,2015 ACS PUMS
12,homeownership by race & age,Connecticut,2015,Latinx,All,Ages 65+,0.3885,percent,2015 ACS PUMS
13,severe cost burden by race & type,Connecticut,2015,White,Female- headed,All,0.2574,percent,2015 ACS PUMS
13,severe cost burden by race & type,Connecticut,2015,White,Male- headed,All,0.2021,percent,2015 ACS PUMS
13,severe cost burden by race & type,Connecticut,2015,White,Married couple,All,0.0692,percent,2015 ACS PUMS
13,severe cost burden by race & type,Connecticut,2015,Black,Female- headed,All,0.3758,percent,2015 ACS PUMS
13,severe cost burden by race & type,Connecticut,2015,Black,Male- headed,All,0.2226,percent,2015 ACS PUMS
13,severe cost burden by race & type,Connecticut,2015,Black,Married couple,All,0.1111,percent,2015 ACS PUMS
13,severe cost burden by race & type,Connecticut,2015,Latinx,Female- headed,All,0.4076,percent,2015 ACS PUMS
13,severe cost burden by race & type,Connecticut,2015,Latinx,Male- headed,All,0.2711,percent,2015 ACS PUMS
13,severe cost burden by race & type,Connecticut,2015,Latinx,Married couple,All,0.2001,percent,2015 ACS PUMS
14,financially secure by race & sex,Connecticut,2015,White,Men,All,0.7288,percent,2015 Community Wellbeing Survey
14,financially secure by race & sex,Connecticut,2015,White,Women,All,0.6767,percent,2015 Community Wellbeing Survey
14,financially secure by race & sex,Connecticut,2015,Black,Men,All,0.5323,percent,2015 Community Wellbeing Survey
14,financially secure by race & sex,Connecticut,2015,Black,Women,All,0.5134,percent,2015 Community Wellbeing Survey
14,financially secure by race & sex,Connecticut,2015,Latinx,Men,All,0.5755,percent,2015 Community Wellbeing Survey
14,financially secure by race & sex,Connecticut,2015,Latinx,Women,All,0.5432,percent,2015 Community Wellbeing Survey
